genotype,replicate id,time point,cell label,angleRegularity,angleVariaton,angleGiniCoeff,lengthRegularity,lengthVariaton,lengthGiniCoeff,labelledImageArea,originalPolygonArea,regularPolygonArea,ratio_originalPolygonArea_labelledImageArea,ratio_regularPolygonArea_labelledImageArea,ratio_regularPolygonArea_originalPolygonArea
speechless,20210712_R5M001,96h,892,0.6622367194078663,0.1805407261053089,0.043358676220253,0.414240033868515,0.4862128339244163,0.1264821772124708,2156.15,2394.95,3097.559176535192,1.1107529624562298,1.436615808981375,1.293371125299147
speechless,20210712_R5M001,96h,764,0.6495591222040284,0.2513167888905981,0.0691564873984093,0.734018056740021,0.2829546157845698,0.074876783272706,1347.91,1241.34,1355.931788441792,0.9209368578020787,1.005951278973961,1.0923129750445422
speechless,20210712_R5M001,96h,1026,0.7405617628624014,0.1428255977073397,0.0382124395286962,0.4144010731332835,0.4737679667045606,0.1255778932919886,2050.49,2507.41,2715.904920657855,1.222834541987525,1.3245150772048904,1.0831515071958138
speechless,20210712_R5M001,96h,1154,0.7192387376533061,0.1884817918948339,0.0521654874068951,0.3719916219289875,0.6886081418853494,0.1944473752753516,2488.39,2840.95,3213.391719819768,1.141681971073666,1.2913537346717228,1.1310975975711532
speechless,20210712_R5M001,96h,834,0.7919006110975472,0.15807485891013,0.0444921340982931,0.5808419082763135,0.3113851673885214,0.0861776184252793,2500.44,1994.21,2159.4702669765666,0.7975436323207116,0.8636361068358235,1.0828700422606279
speechless,20210712_R5M001,96h,1218,0.8141292176084107,0.1192126210107372,0.0323720559167741,0.5628362812423587,0.4392143081802315,0.1200935703577051,1715.29,1906.22,2153.6022760390283,1.1113106238595223,1.2555324615890189,1.1297763511237047
speechless,20210712_R5M001,96h,450,0.6111954204845227,0.268960521419639,0.0728886137895172,0.4405063304334336,0.4574062369720394,0.1226530864465444,3068.03,3641.85,4553.166678023295,1.187032069438695,1.484068499337782,1.2502345450865069
speechless,20210712_R5M001,96h,674,0.7413360063016877,0.2464856274805318,0.0639517799448836,0.5151634027109581,0.31618509929554,0.0774587782365324,2119.19,2299.42,2914.028527993712,1.08504664518047,1.3750671379129347,1.2672885023152411
speechless,20210712_R5M001,96h,1122,0.719605122492174,0.2100257163017267,0.0590856423419851,0.4847457697996734,0.5215091313512554,0.1472632081458256,2311.97,2525.29,2902.478148709112,1.092267633230535,1.2554134131105128,1.14936429032274
speechless,20210712_R5M001,96h,610,0.8369528147217828,0.134502631135058,0.0356329798158765,0.4694205456639405,0.4862027967896911,0.1365798960767501,2358.47,2122.85,2485.1189048052274,0.90009624883929,1.0536996038979625,1.170652144430943
speechless,20210712_R5M001,96h,1170,0.8183988668531263,0.2366074975805218,0.0548436174402239,0.4179278436634291,0.4732096647615048,0.1238899450916454,1267.09,1202.89,1480.6782913096847,0.9493327230109938,1.168565998713339,1.2309340765237757
