genotype,replicate id,time point,cell label,angleGiniCoeff,lengthGiniCoeff,angleGiniCoeff_ignoringGuardCells,lengthGiniCoeff_ignoringGuardCells,labelledImageArea,originalPolygonArea,regularPolygonArea,ratio_originalPolygonArea_labelledImageArea,ratio_regularPolygonArea_labelledImageArea,ratio_regularPolygonArea_originalPolygonArea
speechless,20210712_R1M001A,96h,44681,0.0365331695727417,0.1690958825206687,0.0365331695727417,0.1690958825206687,1640.71,1887.24,2030.329384798832,1.150258119960261,1.237469988479885,1.0758193895841717
speechless,20210712_R1M001A,96h,44617,0.096853785546709,0.1910650103037679,0.096853785546709,0.1910650103037679,1008.53,1214.3,1305.460393766477,1.2040296272793074,1.294418999699044,1.0750723822502488
speechless,20210712_R1M001A,96h,45257,0.1301224938077562,0.1234944854427716,0.1301224938077562,0.1234944854427716,1372.49,1373.02,1485.564953762878,1.0003861594619996,1.082386723227767,1.0819689106953125
speechless,20210712_R1M001A,96h,42697,0.0845271728294229,0.2590893846342012,0.0845271728294229,0.2590893846342012,1032.95,961.299,1058.448134918579,0.9306345902512222,1.024684771691349,1.1010602683645556
speechless,20210712_R1M001A,96h,43689,0.1300888258660158,0.2687945549408385,0.1300888258660158,0.2687945549408385,930.507,1130.72,1323.0584796431249,1.2151654957996019,1.421868378897875,1.1701026599362574
speechless,20210712_R1M001A,96h,37289,0.1208006030370726,0.1926258985269968,0.1208006030370726,0.1926258985269968,307.868,224.308,263.4787503844932,0.7285849779775748,0.8558172670900944,1.1746293060635074
speechless,20210712_R1M001A,96h,45289,0.206630580788837,0.2345908325277637,0.206630580788837,0.2345908325277637,1091.17,1012.09,1223.4427369429568,0.9275273330461797,1.12122101683785,1.2088280063462309
speechless,20210712_R1M001A,96h,44009,0.2030256217145776,0.2770638769464909,0.2030256217145776,0.2770638769464909,1367.77,1383.27,1739.1710640068256,1.0113323146435438,1.2715376591143435,1.2572896571217662
speechless,20210712_R1M001A,96h,44569,0.211928752674214,0.2367426487451721,0.211928752674214,0.2367426487451721,1291.7,1214.27,1498.8656859330172,0.9400557404970193,1.1603821986010816,1.2343759509277321
speechless,20210712_R1M001A,96h,45209,0.1348114704785786,0.2041105875141757,0.1348114704785786,0.2041105875141757,1496.12,1613.06,1990.4540887157796,1.078162179504318,1.3304107215435792,1.2339615939368527
speechless,20210712_R1M001A,96h,44697,0.1326834655287456,0.2166705262918653,0.1326834655287456,0.2166705262918653,1215.77,1296.83,1518.2244319981123,1.0666737952079752,1.2487760283590748,1.1707197026581067
speechless,20210712_R1M001A,96h,41785,0.1140416206728208,0.0651536797585576,0.1140416206728208,0.0651536797585576,1007.04,739.232,786.599366340517,0.7340641881156658,0.7811004193880253,1.0640764554842284
speechless,20210712_R1M001A,96h,44857,0.1443802713541424,0.1693551486945445,0.1443802713541424,0.1693551486945445,910.093,841.583,975.6915741471304,0.9247219789625896,1.0720789789033982,1.1593527603898017
speechless,20210712_R1M001A,96h,45241,0.0673860252196909,0.1052847594782518,0.0673860252196909,0.1052847594782518,1293.62,1239.73,1269.113377125915,0.9583417077658046,0.981055779228765,1.0237014326715614
speechless,20210712_R1M001A,96h,44729,0.1438750182065033,0.259584919024678,0.1438750182065033,0.259584919024678,1271.94,1266.33,1429.9315493205604,0.9955894145950279,1.1242130519683007,1.1291934561453654
