genotype,replicate id,time point,cell label,angleRegularity,angleVariaton,angleGiniCoeff,lengthRegularity,lengthVariaton,lengthGiniCoeff,labelledImageArea,originalPolygonArea,regularPolygonArea,ratio_originalPolygonArea_labelledImageArea,ratio_regularPolygonArea_labelledImageArea,ratio_regularPolygonArea_originalPolygonArea
WT,20200221 WT S5,120h,284,0.6212068583518779,0.2322958804655813,0.0607284023190996,0.5893309409172752,0.4417296797104947,0.1219018259887604,203.406,202.0,222.7791681414543,0.9930877161932293,1.0952438381436846,1.1028671690171006
WT,20200221 WT S5,120h,92,0.7100184116948951,0.2097618477369512,0.0587158148697284,0.7462013302902688,0.2204345884625811,0.0610755321566352,972.538,924.42,1079.1406875463103,0.9505232700418903,1.1096128763568214,1.1673705540190717
WT,20200221 WT S5,120h,220,0.807315794037414,0.1268849674934639,0.0352759050910537,0.6741125511030732,0.3257954455546706,0.0874245348457726,92.066,88.9705,95.71734070677824,0.9663773814437469,1.0396600341795912,1.0758323343892442
WT,20200221 WT S5,120h,572,0.5945835791705224,0.2750898482306417,0.0718825078871896,0.666966205295642,0.3184861200845363,0.0877541626314791,837.531,927.312,1049.9121301902128,1.1071972261325254,1.2535800229367187,1.1322102271837449
WT,20200221 WT S5,120h,636,0.7421324503177323,0.1354363632533331,0.0358715762888381,0.4476946563287566,0.508409282334661,0.1420266876706745,648.219,658.063,724.1540025311231,1.0151862256428767,1.1171440555292624,1.1004326371960178
WT,20200221 WT S5,120h,380,0.7074655960721431,0.2328316704087956,0.0661170644429731,0.5270270010046212,0.4977318664051464,0.1414886486170022,619.281,654.125,762.6457101031647,1.0562652495393854,1.2315018708844043,1.1659020983805308
WT,20200221 WT S5,120h,642,0.6539277092104916,0.214323261444725,0.0558877703654946,0.5039807080752515,0.3818796758379796,0.1037305205696883,317.563,290.5,323.0120810896123,0.9147791146953518,1.0171590553358305,1.1119176629590786
WT,20200221 WT S5,120h,66,0.8421202564447144,0.1404059445382086,0.0381964376190051,0.5496948329978091,0.4112050061706898,0.1108468874325292,243.156,252.781,278.48287862809946,1.0395836417772952,1.1452848320752909,1.101676465510064
WT,20200221 WT S5,120h,578,0.7998684698449873,0.1182917747168414,0.0328396954172102,0.49031545016912,0.5185547893306292,0.1455006524314652,438.594,437.5,468.51645178599927,0.9975056658321819,1.068223577581999,1.070894746939427
WT,20200221 WT S5,120h,322,0.654248908934519,0.3388677257597015,0.0895547287174275,0.5270340880533791,0.3501033361959324,0.0946827476448193,173.781,110.813,130.58735191573393,0.6376588925141413,0.7514478102654141,1.1784479430728698
