genotype,replicate id,time point,cell label,angleGiniCoeff,lengthGiniCoeff,labelledImageArea,originalPolygonArea,regularPolygonArea,ratio_originalPolygonArea_labelledImageArea,ratio_regularPolygonArea_labelledImageArea,ratio_regularPolygonArea_originalPolygonArea
WT inflorescence meristem,P1,T0,420,0.1178255638719892,0.2727930557732758,31.9197,30.9184,36.37432905639451,0.9686306575563053,1.1395573597619812,1.1764622055602654
WT inflorescence meristem,P1,T0,612,0.080590466482298,0.174687149900485,26.5065,27.7667,29.071388434533308,1.0475430554769585,1.0967645081219062,1.0469875222670793
WT inflorescence meristem,P1,T0,356,0.1095921464663654,0.2781586365567993,19.5214,15.9427,18.478874160028465,0.8166781071029742,0.9465957441591517,1.1590805923732155
WT inflorescence meristem,P1,T0,740,0.0480983786705285,0.2386301805508147,32.6962,30.9978,33.467820264345846,0.9480551256720966,1.023599692451901,1.0796837280176608
WT inflorescence meristem,P1,T0,484,0.0829242853143882,0.1261115090073558,43.8998,44.9255,47.72268899121807,1.0233645711369983,1.0870821505159038,1.0622628349426957
WT inflorescence meristem,P1,T0,532,0.1020848483664099,0.2439149772319058,28.1885,28.0461,30.89263676330521,0.9949482945172676,1.095930495177296,1.1014949231196212
WT inflorescence meristem,P1,T0,596,0.1128497770053099,0.217254935498977,23.8594,21.8284,24.605981374302143,0.9148763170909577,1.031290869607037,1.1272462193427895
WT inflorescence meristem,P1,T0,340,0.0811129929662438,0.1411046684157759,26.1097,24.8202,25.81622191737458,0.9506122245755408,0.9887598064081388,1.0401294879724814
WT inflorescence meristem,P1,T0,692,0.1163971777260665,0.2562944993377362,25.7623,23.7663,27.62420966815114,0.9225224455890974,1.0722726491094017,1.1623268943062715
WT inflorescence meristem,P1,T0,436,0.1322456096173462,0.2540817670642278,25.3521,23.5995,28.26894598370424,0.9308696321014827,1.1150534268839363,1.1978620726584988
WT inflorescence meristem,P1,T0,372,0.0985021433879554,0.238908505512719,33.2659,32.4483,36.374831459133176,0.9754222792709653,1.0934570072997627,1.1210088497435358
WT inflorescence meristem,P1,T0,652,0.1577857759387473,0.2012105793377262,24.2443,19.5748,22.031811329842327,0.8073980275776163,0.9087419034512165,1.1255191026136833
WT inflorescence meristem,P1,T0,332,0.1060801642386076,0.2389224127458312,25.7356,21.8066,24.60440512642406,0.8473321002813223,0.9560455216285635,1.1283008413243725
WT inflorescence meristem,P1,T0,716,0.0594405375831501,0.211620701241197,32.9751,32.2746,35.38357779959261,0.9787566982359417,1.0730392872073962,1.0963289335760198
WT inflorescence meristem,P1,T0,460,0.1628149314695837,0.3168575720274908,25.5735,20.8171,28.12898710482087,0.8140105969069544,1.0999271552513683,1.3512442705670276
