genotype,replicate id,time point,cell label,cell id,angleGiniCoeff,lengthGiniCoeff,angleGiniCoeff_ignoringGuardCells,lengthGiniCoeff_ignoringGuardCells,labelledImageArea,originalPolygonArea,regularPolygonArea,relativeCompleteness,lobyness,ratio_originalPolygonArea_labelledImageArea,ratio_regularPolygonArea_labelledImageArea,ratio_regularPolygonArea_originalPolygonArea
col-0,20170327 WT S1,48h,45,22,0.1208734073481816,0.260402497666452,0.0828709824365186,0.260402497666452,503.15998200000007,535.9078725,720.7335473008386,0.6423728813559322,5.156809920303258,1.0650844496214327,1.4324142878692576,1.3448832985763584
col-0,20170327 WT S1,48h,68,23,0.1193720842509228,0.128963641905055,0.1256836863389792,0.128963641905055,198.78287,183.8131035,203.2415805926386,0.8528225806451613,4.88252886604328,0.9246928746928748,1.0224300544238978,1.1056969101913814
col-0,20170327 WT S1,48h,82,24,0.0885037683604931,0.1895672267188225,0.0550734502814592,0.1853512672042421,376.857156,399.2019135,428.8638827404064,0.7854122621564482,4.980609630964343,1.0592923794712286,1.138001165461235,1.0743031740012097
col-0,20170327 WT S1,48h,91,25,0.158344992898486,0.2994268346365686,0.158344992898486,0.2994268346365686,401.228815,412.413404,489.5992791271055,0.6807843137254902,5.119875527043197,1.0278758368837493,1.2202495454547688,1.1871565627559124
col-0,20170327 WT S1,48h,92,26,0.10745105161026,0.3186636835923662,0.1122818006392445,0.3186636835923662,500.913296,517.3482925000001,585.496996921643,0.6895622895622896,5.136835122616205,1.0328100624024963,1.1688589654079435,1.1317269340782505
col-0,20170327 WT S1,48h,85,27,0.1361438831608263,0.3263723352381171,0.0882472403113496,0.3424437891985735,592.490171,612.1242530000001,826.336623185391,0.64375,5.134689043784347,1.0331382408704972,1.3946841038572957,1.349949163320263
col-0,20170327 WT S1,48h,64,28,0.0861984122809068,0.231061040942315,0.0861984122809068,0.231061040942315,427.651796,451.6083065,531.2533006025791,0.7526395173453997,4.917710323643152,1.056018730013705,1.2422566807192343,1.1763585677150938
col-0,20170327 WT S1,48h,59,29,0.1192970268338092,0.3430246891155565,0.1192970268338092,0.3430246891155565,498.1782,501.3772855,601.9163228233165,0.7456324248777079,4.9856602247941,1.0064215686274511,1.208234970585458,1.2005257123346815
col-0,20170327 WT S1,48h,84,30,0.0628593483378418,0.1902684685484141,0.0658832830227676,0.1902684685484141,342.473092,365.4039415,410.2853473265133,0.8012684989429175,4.88064248981698,1.0669566457501425,1.198007542521073,1.122826824588353
col-0,20170327 WT S1,48h,63,31,0.1177963219661409,0.231898411279156,0.0924325105405926,0.2362063423148407,368.603027,373.194081,425.370001228654,0.7873754152823921,4.96986340917208,1.0124552802438054,1.1540057190812327,1.139809077595349
col-0,20170327 WT S1,48h,81,32,0.1366781210053655,0.2635203417924133,0.0552534719842199,0.2635203417924133,404.208116,435.9791865,513.1717453552303,0.7297959183673469,5.076416610378944,1.0786007733204446,1.2695730863435466,1.1770556055093475
col-0,20170327 WT S1,48h,41,33,0.1053881145921888,0.1396359962540866,0.0803339412721936,0.136762224534752,481.523419,499.32596350000006,535.0941595563384,0.6902356902356902,5.166928960866344,1.0369712952632115,1.1112526170951165,1.071632958570035
col-0,20170327 WT S1,72h,48,1,0.1219402152097312,0.3839590403444033,0.1271473420715906,0.3839590403444033,820.7241640000001,845.3400280000001,995.9038689772132,0.6994884910485933,5.063394264861266,1.0299928588431326,1.2134452872977834,1.178110388707647
